Grid ID,Topological Type,tb,r,X,O,Orientation Reversal,Legendrian Mirror,Orientation Reversal + Legendrian Mirror
G1,10n4,-13,-2,"(0, 7, 9, 6, 1, 5, 4, 3, 2, 8)","(5, 1, 2, 0, 8, 9, 7, 6, 4, 3)",--,--,G6
G2,10n4,-13,-2,"(0, 5, 4, 9, 8, 7, 6, 3, 1, 2)","(4, 3, 1, 2, 0, 9, 8, 7, 5, 6)",--,--,G2
G3,10n4,-13,-2,"(0, 8, 9, 7, 6, 5, 4, 3, 1, 2)","(4, 1, 3, 0, 8, 7, 2, 6, 5, 9)",--,--,G4
G4,10n4,-13,-2,"(0, 8, 9, 7, 6, 5, 4, 3, 1, 2)","(3, 1, 6, 2, 0, 8, 7, 5, 4, 9)",--,--,G3
G5,10n4,-13,-2,"(0, 1, 3, 2, 9, 6, 5, 8, 7, 4)","(6, 7, 5, 4, 3, 2, 0, 1, 9, 8)",--,--,G5
G6,10n4,-13,-2,"(0, 9, 8, 7, 5, 3, 1, 4, 2, 6)","(4, 1, 0, 2, 9, 8, 6, 7, 5, 3)",--,--,G1
G7,10n4,-13,-4,"(0, 9, 8, 7, 4, 6, 5, 3, 1, 2)","(3, 1, 0, 9, 8, 2, 7, 6, 4, 5)",--,--,G8
G8,10n4,-13,-4,"(0, 8, 9, 7, 4, 6, 5, 3, 2, 1)","(2, 1, 5, 0, 8, 9, 7, 6, 4, 3)",--,--,G7
G9,10n4,-13,0,"(0, 4, 3, 9, 6, 8, 5, 7, 2, 1)","(6, 8, 5, 4, 2, 3, 1, 0, 9, 7)",G10,G12,G15
G10,10n4,-13,0,"(0, 4, 2, 3, 9, 7, 8, 6, 5, 1)","(7, 8, 6, 5, 4, 1, 2, 3, 0, 9)",G9,G15,G12
G11,10n4,-13,0,"(0, 5, 8, 7, 3, 6, 4, 1, 9, 2)","(4, 1, 3, 2, 9, 0, 8, 7, 5, 6)",G14,G16,G13
G12,10n4,-13,0,"(0, 9, 7, 8, 6, 2, 1, 4, 5, 3)","(5, 4, 2, 3, 1, 0, 7, 8, 9, 6)",G15,G9,G10
G13,10n4,-13,0,"(0, 7, 9, 4, 6, 1, 5, 3, 2, 8)","(5, 1, 3, 2, 0, 8, 9, 7, 6, 4)",G16,G14,G11
G14,10n4,-13,0,"(0, 2, 1, 8, 9, 7, 6, 4, 5, 3)","(4, 7, 6, 2, 5, 3, 0, 8, 1, 9)",G11,G13,G16
G15,10n4,-13,0,"(0, 1, 8, 7, 6, 4, 5, 3, 2, 9)","(6, 7, 5, 2, 1, 9, 0, 8, 4, 3)",G12,G10,G9
G16,10n4,-13,0,"(0, 8, 7, 5, 6, 2, 4, 3, 1, 9)","(6, 4, 3, 9, 1, 8, 0, 5, 7, 2)",G13,G11,G14
G17,10n4,-13,2,"(0, 5, 9, 7, 2, 8, 6, 4, 3, 1)","(7, 8, 6, 4, 5, 3, 2, 1, 0, 9)",--,--,G20
G18,10n4,-13,2,"(0, 9, 7, 8, 6, 5, 3, 4, 2, 1)","(8, 5, 3, 4, 2, 7, 6, 1, 0, 9)",--,--,G18
G19,10n4,-13,2,"(0, 2, 9, 1, 7, 6, 5, 4, 8, 3)","(7, 8, 4, 6, 5, 3, 2, 0, 1, 9)",--,--,G22
G20,10n4,-13,2,"(0, 7, 5, 4, 9, 3, 2, 6, 1, 8)","(6, 4, 3, 2, 1, 0, 8, 9, 7, 5)",--,--,G17
G21,10n4,-13,2,"(0, 9, 7, 5, 4, 6, 8, 3, 1, 2)","(7, 6, 4, 3, 1, 2, 0, 9, 5, 8)",--,--,G21
G22,10n4,-13,2,"(0, 8, 6, 4, 3, 2, 1, 5, 9, 7)","(5, 3, 2, 9, 1, 0, 7, 8, 6, 4)",--,--,G19
