Grid ID,Topological Type,tb,r,Orientation Reversal,Legendrian Mirror,Orientation Reversal + Legendrian Mirror,Parents
S1,10n4,-14,-1,--,--,S1,"{'G13', 'G16', 'G15', 'G10', 'G1', 'G5', 'G14', 'G2', 'G3', 'G4', 'G12', 'G11', 'G9', 'G6'}"
S2,10n4,-14,-3,--,--,S2,"{'G1', 'G7', 'G5', 'G2', 'G8', 'G3', 'G4', 'G6'}"
S3,10n4,-14,-5,--,--,S4,{'G8'}
S4,10n4,-14,-5,--,--,S3,{'G7'}
S5,10n4,-14,1,--,--,S5,"{'G21', 'G13', 'G20', 'G15', 'G10', 'G16', 'G14', 'G17', 'G18', 'G12', 'G19', 'G22', 'G11', 'G9'}"
S6,10n4,-14,3,--,--,S6,"{'G21', 'G20', 'G23', 'G24', 'G17', 'G18', 'G19', 'G22'}"
S7,10n4,-14,5,--,--,S8,{'G23'}
S8,10n4,-14,5,--,--,S7,{'G24'}
S9,m10n4,2,-1,--,--,?,"{'G29', 'G25'}"
S10,m10n4,2,-1,--,--,?,"{'G28', 'G27'}"
S11,m10n4,2,-1,--,--,?,"{'G30', 'G26'}"
S12,m10n4,2,1,--,--,?,"{'G28', 'G27'}"
S13,m10n4,2,1,--,--,?,"{'G29', 'G25'}"
S14,m10n4,2,1,--,--,?,"{'G30', 'G26'}"
S15,m10n6,-5,-2,--,--,S15,{'G31'}
S16,m10n6,-5,0,?,?,?,{'G31'}
S17,m10n6,-5,0,?,?,?,{'G32'}
S18,m10n6,-5,2,--,--,S18,{'G32'}
S19,10n6,-7,-2,--,--,S20,"{'G34', 'G36', 'G39', 'G38'}"
S20,10n6,-7,-2,--,--,S19,"{'G37', 'G35', 'G40', 'G33'}"
S21,10n6,-7,0,S21,S21,S21,"{'G39', 'G43', 'G41', 'G40', 'G37', 'G47', 'G34', 'G36', 'G42', 'G45', 'G48', 'G46', 'G35', 'G44', 'G33', 'G38'}"
S22,10n6,-7,2,--,--,S23,"{'G46', 'G43', 'G45', 'G48'}"
S23,10n6,-7,2,--,--,S22,"{'G44', 'G42', 'G41', 'G47'}"
S24,10n8,-12,-1,--,--,S25,"{'G49', 'G62', 'G64', 'G57', 'G56', 'G51', 'G60', 'G61'}"
S25,10n8,-12,-1,--,--,S24,"{'G50', 'G52', 'G55', 'G63', 'G59', 'G58', 'G54', 'G53'}"
S26,10n8,-12,-3,--,--,S28,{'G49'}
S27,10n8,-12,-3,--,--,S29,{'G51'}
S28,10n8,-12,-3,--,--,S26,{'G52'}
S29,10n8,-12,-3,--,--,S27,{'G50'}
S30,10n8,-12,1,--,--,S31,"{'G62', 'G64', 'G57', 'G66', 'G56', 'G68', 'G60', 'G61'}"
S31,10n8,-12,1,--,--,S30,"{'G55', 'G65', 'G63', 'G67', 'G59', 'G58', 'G54', 'G53'}"
S32,10n8,-12,3,--,--,S34,{'G66'}
S33,10n8,-12,3,--,--,S35,{'G68'}
S34,10n8,-12,3,--,--,S32,{'G67'}
S35,10n8,-12,3,--,--,S33,{'G65'}
S36,m10n8,0,-1,--,--,S42,"{'G70', 'G76', 'G69'}"
S37,m10n8,0,-1,--,--,?,{'G71'}
S38,m10n8,0,-1,--,--,S41,{'G75'}
S39,m10n8,0,-1,--,--,S40,{'G77'}
S40,m10n8,0,-1,--,--,S39,"{'G72', 'G79'}"
S41,m10n8,0,-1,--,--,S38,{'G80'}
S42,m10n8,0,-1,--,--,S36,"{'G78', 'G74', 'G73'}"
S43,m10n8,0,1,--,--,S48,{'G75'}
S44,m10n8,0,1,--,--,?,{'G71'}
S45,m10n8,0,1,--,--,S46,"{'G76', 'G69', 'G73'}"
S46,m10n8,0,1,--,--,S45,"{'G70', 'G78', 'G74'}"
S47,m10n8,0,1,--,--,S49,{'G77'}
S48,m10n8,0,1,--,--,S43,{'G80'}
S49,m10n8,0,1,--,--,S47,"{'G72', 'G79'}"
S50,m10n12,-5,-2,--,--,?,{'G81'}
S51,m10n12,-5,-2,--,--,?,{'G82'}
S52,m10n12,-5,-2,--,--,S53,{'G84'}
S53,m10n12,-5,-2,--,--,S52,{'G83'}
S54,m10n12,-5,0,?,S56,S55,{'G87'}
S55,m10n12,-5,0,?,S57,S54,"{'G88', 'G85', 'G81'}"
S56,m10n12,-5,0,?,S54,S57,"{'G82', 'G86', 'G83'}"
S57,m10n12,-5,0,?,S55,S56,{'G84'}
S58,m10n12,-5,2,--,--,S61,{'G87'}
S59,m10n12,-5,2,--,--,?,{'G85'}
S60,m10n12,-5,2,--,--,?,{'G86'}
S61,m10n12,-5,2,--,--,S58,{'G88'}
S62,10n12,-7,-2,--,--,S62,{'G94'}
S63,10n12,-7,-2,--,--,?,{'G92'}
S64,10n12,-7,-2,--,--,?,{'G95'}
S65,10n12,-7,-2,--,--,S66,{'G93'}
S66,10n12,-7,-2,--,--,S65,"{'G91', 'G90'}"
S67,10n12,-7,-2,--,--,?,{'G89'}
S68,10n12,-7,0,?,?,S68,"{'G99', 'G91', 'G90', 'G95', 'G100', 'G92', 'G96', 'G93', 'G94', 'G102', 'G101', 'G98', 'G97'}"
S69,10n12,-7,0,?,?,?,{'G89'}
